run_id,n,mean,std,min,max,p50,p95,p99,achieved_hz,message,config,backend,direction,payload_bytes,target_frequency_hz,transport,reliability,step_index,n_publish,n_receive,drop_rate,case
exp_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,301,286.1188073089701,75.69269720029854,181.974,782.971,265.813,425.084,490.077,10.037306933852536,exp,copy,xcdr,cpp_to_py,100000,10.0,shmem_ds,best_effort,0,301,301,0.0,exp_copy_xcdr
exp_copy_xcdr__py_to_cpp__1000000B__10Hz__shmem_ds__best_effort,301,627.844607973422,241.05732336742196,276.423,1539.034,559.329,1078.963,1283.19,10.034615036315127,exp,copy,xcdr,py_to_cpp,1000000,10.0,shmem_ds,best_effort,1,301,301,0.0,exp_copy_xcdr
exp_copy_xcdr__py_to_cpp__100000B__10Hz__shmem_ds__best_effort,301,252.40287707641198,96.26334162927672,134.645,870.357,234.484,416.258,648.628,10.034634314641057,exp,copy,xcdr,py_to_cpp,100000,10.0,shmem_ds,best_effort,0,301,301,0.0,exp_copy_xcdr
exp_copy_xcdr__py_to_py__1000000B__10Hz__shmem_ds__best_effort,301,741.1160664451827,250.39816697472494,343.801,2311.757,684.657,1145.73,1239.357,10.034622943604528,exp,copy,xcdr,py_to_py,1000000,10.0,shmem_ds,best_effort,1,301,301,0.0,exp_copy_xcdr
exp_copy_xcdr__py_to_py__100000B__10Hz__shmem_ds__best_effort,301,331.7791926910299,83.66863415615246,208.384,1059.125,308.644,468.167,562.685,10.034629912881691,exp,copy,xcdr,py_to_py,100000,10.0,shmem_ds,best_effort,0,301,301,0.0,exp_copy_xcdr
std_copy_fastcdr__cpp_to_cpp__1000000B__10Hz__shmem_ds__best_effort,301,912.259880398671,291.30424209005093,340.543,2406.288,864.07,1420.389,1775.419,10.037304223711226,std,copy,fastcdr,cpp_to_cpp,1000000,10.0,shmem_ds,best_effort,1,301,301,0.0,std_copy_fastcdr
std_copy_fastcdr__cpp_to_cpp__100000B__10Hz__shmem_ds__best_effort,301,244.301,69.18621782758953,124.475,785.471,228.571,351.133,469.486,10.03730644517683,std,copy,fastcdr,cpp_to_cpp,100000,10.0,shmem_ds,best_effort,0,301,301,0.0,std_copy_fastcdr
std_copy_fastcdr__cpp_to_py__1000000B__10Hz__shmem_ds__best_effort,301,2603.9259667774086,345.3754584403263,1866.238,3699.201,2632.762,3120.491,3323.626,10.037305524726143,std,copy,fastcdr,cpp_to_py,1000000,10.0,shmem_ds,best_effort,1,301,301,0.0,std_copy_fastcdr
std_copy_fastcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,301,437.65658471760804,102.34934926539736,241.435,1065.467,409.912,610.751,847.988,10.03730502467046,std,copy,fastcdr,cpp_to_py,100000,10.0,shmem_ds,best_effort,0,301,301,0.0,std_copy_fastcdr
std_copy_fastcdr__py_to_cpp__1000000B__10Hz__shmem_ds__best_effort,301,1102.8846179401994,303.8220632387158,538.016,2564.54,1080.64,1555.536,2079.295,10.034589654927,std,copy,fastcdr,py_to_cpp,1000000,10.0,shmem_ds,best_effort,1,301,301,0.0,std_copy_fastcdr
